sn1,sn2,sn3,sn4,sn5,sn6,sn7,sn8
GOUPIL-6520,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6521,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6522,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6523,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6524,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6525,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6526,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6527,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6528,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6529,NA,NA,NA,NA,NA,NA,NA
GOUPIL-11177,GOUPIL-6530,NA,NA,NA,NA,NA,NA
GOUPIL-6531,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6532,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6533,NA,NA,NA,NA,NA,NA,NA
GOUPIL-11178,GOUPIL-13462,GOUPIL-6534,NA,NA,NA,NA,NA
GOUPIL-6535,NA,NA,NA,NA,NA,NA,NA
GOUPIL-11179,GOUPIL-13463,GOUPIL-17806,GOUPIL-6536,NA,NA,NA,NA
GOUPIL-11180,GOUPIL-13464,GOUPIL-17807,GOUPIL-6537,NA,NA,NA,NA
GOUPIL-6538,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6539,NA,NA,NA,NA,NA,NA,NA
GOUPIL-11181,GOUPIL-6540,NA,NA,NA,NA,NA,NA
GOUPIL-6541,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6542,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6543,NA,NA,NA,NA,NA,NA,NA
GOUPIL-11182,GOUPIL-6544,NA,NA,NA,NA,NA,NA
GOUPIL-6545,NA,NA,NA,NA,NA,NA,NA
GOUPIL-11183,GOUPIL-13465,GOUPIL-17808,GOUPIL-21132,GOUPIL-24518,GOUPIL-6546,NA,NA
GOUPIL-6547,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6548,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6549,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6550,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6551,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6552,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6553,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6554,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6555,NA,NA,NA,NA,NA,NA,NA
GOUPIL-11184,GOUPIL-13466,GOUPIL-6556,NA,NA,NA,NA,NA
GOUPIL-6557,NA,NA,NA,NA,NA,NA,NA
GOUPIL-11185,GOUPIL-13467,GOUPIL-17809,GOUPIL-6558,NA,NA,NA,NA
GOUPIL-6559,NA,NA,NA,NA,NA,NA,NA
GOUPIL-11186,GOUPIL-6560,NA,NA,NA,NA,NA,NA
GOUPIL-11187,GOUPIL-6561,NA,NA,NA,NA,NA,NA
GOUPIL-11188,GOUPIL-13468,GOUPIL-6562,NA,NA,NA,NA,NA
GOUPIL-11189,GOUPIL-13469,GOUPIL-6563,NA,NA,NA,NA,NA
GOUPIL-11190,GOUPIL-13470,GOUPIL-6564,NA,NA,NA,NA,NA
GOUPIL-6565,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6566,NA,NA,NA,NA,NA,NA,NA
GOUPIL-11191,GOUPIL-6567,NA,NA,NA,NA,NA,NA
GOUPIL-11192,GOUPIL-13471,GOUPIL-6568,NA,NA,NA,NA,NA
GOUPIL-11193,GOUPIL-6569,NA,NA,NA,NA,NA,NA
GOUPIL-11194,GOUPIL-6570,NA,NA,NA,NA,NA,NA
GOUPIL-6571,NA,NA,NA,NA,NA,NA,NA
GOUPIL-11195,GOUPIL-13472,GOUPIL-17811,GOUPIL-6572,NA,NA,NA,NA
GOUPIL-6573,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6574,NA,NA,NA,NA,NA,NA,NA
GOUPIL-11196,GOUPIL-6575,NA,NA,NA,NA,NA,NA
GOUPIL-6576,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6577,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6578,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6579,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6580,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6581,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6582,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6583,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6584,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6585,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6586,NA,NA,NA,NA,NA,NA,NA
GOUPIL-11197,GOUPIL-6587,NA,NA,NA,NA,NA,NA
GOUPIL-6588,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6589,NA,NA,NA,NA,NA,NA,NA
GOUPIL-11198,GOUPIL-6590,NA,NA,NA,NA,NA,NA
GOUPIL-6591,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6592,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6593,NA,NA,NA,NA,NA,NA,NA
GOUPIL-11199,GOUPIL-13473,GOUPIL-6594,NA,NA,NA,NA,NA
GOUPIL-6595,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6596,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6597,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6598,NA,NA,NA,NA,NA,NA,NA
GOUPIL-11200,GOUPIL-13474,GOUPIL-17812,GOUPIL-6599,NA,NA,NA,NA
GOUPIL-11201,GOUPIL-6600,NA,NA,NA,NA,NA,NA
GOUPIL-6601,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6602,NA,NA,NA,NA,NA,NA,NA
GOUPIL-11202,GOUPIL-6603,NA,NA,NA,NA,NA,NA
GOUPIL-6604,NA,NA,NA,NA,NA,NA,NA
GOUPIL-11204,GOUPIL-6605,NA,NA,NA,NA,NA,NA
GOUPIL-6606,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6607,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6608,NA,NA,NA,NA,NA,NA,NA
GOUPIL-11205,GOUPIL-13475,GOUPIL-17813,GOUPIL-21133,GOUPIL-6609,NA,NA,NA
GOUPIL-6610,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6611,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6612,NA,NA,NA,NA,NA,NA,NA
GOUPIL-11206,GOUPIL-13476,GOUPIL-6613,NA,NA,NA,NA,NA
GOUPIL-11207,GOUPIL-6614,NA,NA,NA,NA,NA,NA
GOUPIL-11208,GOUPIL-13477,GOUPIL-6615,NA,NA,NA,NA,NA
GOUPIL-6616,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6617,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6618,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6619,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6620,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6621,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6622,NA,NA,NA,NA,NA,NA,NA
GOUPIL-11209,GOUPIL-6623,NA,NA,NA,NA,NA,NA
GOUPIL-6624,NA,NA,NA,NA,NA,NA,NA
GOUPIL-11210,GOUPIL-13478,GOUPIL-17814,GOUPIL-6625,NA,NA,NA,NA
GOUPIL-11211,GOUPIL-13479,GOUPIL-17815,GOUPIL-6626,NA,NA,NA,NA
GOUPIL-6627,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6628,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6629,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6630,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6631,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6632,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6633,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6634,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6635,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6636,NA,NA,NA,NA,NA,NA,NA
GOUPIL-11212,GOUPIL-13480,GOUPIL-6637,NA,NA,NA,NA,NA
GOUPIL-6638,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6639,NA,NA,NA,NA,NA,NA,NA
GOUPIL-11213,GOUPIL-6640,NA,NA,NA,NA,NA,NA
GOUPIL-6641,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6642,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6643,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6644,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6645,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6646,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6647,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6649,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6650,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6651,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6652,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6653,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6654,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6655,NA,NA,NA,NA,NA,NA,NA
GOUPIL-11214,GOUPIL-6656,NA,NA,NA,NA,NA,NA
GOUPIL-6657,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6658,NA,NA,NA,NA,NA,NA,NA
GOUPIL-11215,GOUPIL-6659,NA,NA,NA,NA,NA,NA
GOUPIL-6660,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6661,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6662,NA,NA,NA,NA,NA,NA,NA
GOUPIL-11216,GOUPIL-13481,GOUPIL-6663,NA,NA,NA,NA,NA
GOUPIL-6664,NA,NA,NA,NA,NA,NA,NA
GOUPIL-11217,GOUPIL-6665,NA,NA,NA,NA,NA,NA
GOUPIL-6666,NA,NA,NA,NA,NA,NA,NA
GOUPIL-11218,GOUPIL-6667,NA,NA,NA,NA,NA,NA
GOUPIL-6668,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6669,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6670,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6671,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6672,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6673,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6674,NA,NA,NA,NA,NA,NA,NA
GOUPIL-11219,GOUPIL-13482,GOUPIL-17816,GOUPIL-6675,NA,NA,NA,NA
GOUPIL-11220,GOUPIL-13483,GOUPIL-6676,NA,NA,NA,NA,NA
GOUPIL-11221,GOUPIL-6677,NA,NA,NA,NA,NA,NA
GOUPIL-6678,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6679,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6680,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6681,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6682,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6683,NA,NA,NA,NA,NA,NA,NA
GOUPIL-11222,GOUPIL-6684,NA,NA,NA,NA,NA,NA
GOUPIL-6685,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6686,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6687,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6688,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6689,NA,NA,NA,NA,NA,NA,NA
GOUPIL-11223,GOUPIL-13484,GOUPIL-6690,NA,NA,NA,NA,NA
GOUPIL-6691,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6692,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6693,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6694,NA,NA,NA,NA,NA,NA,NA
GOUPIL-11224,GOUPIL-13485,GOUPIL-6695,NA,NA,NA,NA,NA
GOUPIL-11225,GOUPIL-13486,GOUPIL-17817,GOUPIL-6696,NA,NA,NA,NA
GOUPIL-6697,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6698,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6699,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6700,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6701,NA,NA,NA,NA,NA,NA,NA
GOUPIL-11226,GOUPIL-13487,GOUPIL-17818,GOUPIL-21134,GOUPIL-24519,GOUPIL-6702,NA,NA
GOUPIL-6703,NA,NA,NA,NA,NA,NA,NA
GOUPIL-11227,GOUPIL-13488,GOUPIL-6704,NA,NA,NA,NA,NA
GOUPIL-6705,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6706,NA,NA,NA,NA,NA,NA,NA
GOUPIL-11228,GOUPIL-6707,NA,NA,NA,NA,NA,NA
GOUPIL-6708,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6709,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6710,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6711,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6712,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6713,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6714,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6715,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6716,NA,NA,NA,NA,NA,NA,NA
GOUPIL-11229,GOUPIL-13489,GOUPIL-6717,NA,NA,NA,NA,NA
GOUPIL-6718,NA,NA,NA,NA,NA,NA,NA
GOUPIL-11231,GOUPIL-13490,GOUPIL-6719,NA,NA,NA,NA,NA
GOUPIL-6720,NA,NA,NA,NA,NA,NA,NA
GOUPIL-11232,GOUPIL-13491,GOUPIL-17819,GOUPIL-6721,NA,NA,NA,NA
GOUPIL-6722,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6723,NA,NA,NA,NA,NA,NA,NA
GOUPIL-11233,GOUPIL-6724,NA,NA,NA,NA,NA,NA
GOUPIL-6725,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6726,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6727,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6728,NA,NA,NA,NA,NA,NA,NA
GOUPIL-11234,GOUPIL-6729,NA,NA,NA,NA,NA,NA
GOUPIL-11235,GOUPIL-6730,NA,NA,NA,NA,NA,NA
GOUPIL-6731,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6732,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6733,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6734,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6735,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6736,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6737,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6738,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6739,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6740,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6741,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6742,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6743,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6744,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6745,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6746,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6747,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6748,NA,NA,NA,NA,NA,NA,NA
GOUPIL-11236,GOUPIL-6749,NA,NA,NA,NA,NA,NA
GOUPIL-6750,NA,NA,NA,NA,NA,NA,NA
GOUPIL-11237,GOUPIL-6751,NA,NA,NA,NA,NA,NA
GOUPIL-6752,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6753,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6754,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6755,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6756,NA,NA,NA,NA,NA,NA,NA
GOUPIL-11238,GOUPIL-6757,NA,NA,NA,NA,NA,NA
GOUPIL-11239,GOUPIL-13492,GOUPIL-6758,NA,NA,NA,NA,NA
GOUPIL-6759,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6760,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6761,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6762,NA,NA,NA,NA,NA,NA,NA
GOUPIL-11240,GOUPIL-6763,NA,NA,NA,NA,NA,NA
GOUPIL-6764,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6765,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6766,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6767,NA,NA,NA,NA,NA,NA,NA
GOUPIL-11242,GOUPIL-6768,NA,NA,NA,NA,NA,NA
GOUPIL-6769,NA,NA,NA,NA,NA,NA,NA
GOUPIL-11243,GOUPIL-6770,NA,NA,NA,NA,NA,NA
GOUPIL-11244,GOUPIL-13493,GOUPIL-6771,NA,NA,NA,NA,NA
GOUPIL-11245,GOUPIL-13494,GOUPIL-17821,GOUPIL-6772,NA,NA,NA,NA
GOUPIL-6773,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6774,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6775,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6776,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6777,NA,NA,NA,NA,NA,NA,NA
GOUPIL-11246,GOUPIL-13495,GOUPIL-17822,GOUPIL-6778,NA,NA,NA,NA
GOUPIL-11247,GOUPIL-6779,NA,NA,NA,NA,NA,NA
GOUPIL-11248,GOUPIL-6780,NA,NA,NA,NA,NA,NA
GOUPIL-11249,GOUPIL-6781,NA,NA,NA,NA,NA,NA
GOUPIL-11250,GOUPIL-6782,NA,NA,NA,NA,NA,NA
GOUPIL-6783,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6784,NA,NA,NA,NA,NA,NA,NA
GOUPIL-11251,GOUPIL-6785,NA,NA,NA,NA,NA,NA
GOUPIL-11252,GOUPIL-13496,GOUPIL-17823,GOUPIL-6786,NA,NA,NA,NA
GOUPIL-6787,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6788,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6789,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6790,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6791,NA,NA,NA,NA,NA,NA,NA
GOUPIL-11253,GOUPIL-6792,NA,NA,NA,NA,NA,NA
GOUPIL-6793,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6794,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6795,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6796,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6797,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6798,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6799,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6800,NA,NA,NA,NA,NA,NA,NA
GOUPIL-11254,GOUPIL-13497,GOUPIL-6801,NA,NA,NA,NA,NA
GOUPIL-11255,GOUPIL-6802,NA,NA,NA,NA,NA,NA
GOUPIL-6803,NA,NA,NA,NA,NA,NA,NA
GOUPIL-11256,GOUPIL-6804,NA,NA,NA,NA,NA,NA
GOUPIL-11257,GOUPIL-13498,GOUPIL-17824,GOUPIL-6805,NA,NA,NA,NA
GOUPIL-11258,GOUPIL-6806,NA,NA,NA,NA,NA,NA
GOUPIL-6807,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6808,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6809,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6810,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6811,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6812,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6813,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6814,NA,NA,NA,NA,NA,NA,NA
GOUPIL-11259,GOUPIL-6815,NA,NA,NA,NA,NA,NA
GOUPIL-6816,NA,NA,NA,NA,NA,NA,NA
GOUPIL-11260,GOUPIL-6817,NA,NA,NA,NA,NA,NA
GOUPIL-11261,GOUPIL-6818,NA,NA,NA,NA,NA,NA
GOUPIL-11262,GOUPIL-13499,GOUPIL-17825,GOUPIL-6819,NA,NA,NA,NA
GOUPIL-6820,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6821,NA,NA,NA,NA,NA,NA,NA
GOUPIL-11263,GOUPIL-13500,GOUPIL-6822,NA,NA,NA,NA,NA
GOUPIL-11264,GOUPIL-6823,NA,NA,NA,NA,NA,NA
GOUPIL-6824,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6825,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6826,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6827,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6828,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6829,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6830,NA,NA,NA,NA,NA,NA,NA
GOUPIL-11265,GOUPIL-6831,NA,NA,NA,NA,NA,NA
GOUPIL-11266,GOUPIL-13501,GOUPIL-6832,NA,NA,NA,NA,NA
GOUPIL-6833,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6834,NA,NA,NA,NA,NA,NA,NA
GOUPIL-11267,GOUPIL-13502,GOUPIL-6835,NA,NA,NA,NA,NA
GOUPIL-6836,NA,NA,NA,NA,NA,NA,NA
GOUPIL-11268,GOUPIL-6837,NA,NA,NA,NA,NA,NA
GOUPIL-6838,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6839,NA,NA,NA,NA,NA,NA,NA
GOUPIL-11269,GOUPIL-6840,NA,NA,NA,NA,NA,NA
GOUPIL-6841,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6842,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6843,NA,NA,NA,NA,NA,NA,NA
GOUPIL-11270,GOUPIL-6844,NA,NA,NA,NA,NA,NA
GOUPIL-6845,NA,NA,NA,NA,NA,NA,NA
GOUPIL-11271,GOUPIL-6846,NA,NA,NA,NA,NA,NA
GOUPIL-6847,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6848,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6849,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6850,NA,NA,NA,NA,NA,NA,NA
GOUPIL-11272,GOUPIL-6851,NA,NA,NA,NA,NA,NA
GOUPIL-11273,GOUPIL-13503,GOUPIL-17826,GOUPIL-6852,NA,NA,NA,NA
GOUPIL-6853,NA,NA,NA,NA,NA,NA,NA
GOUPIL-11274,GOUPIL-13504,GOUPIL-17827,GOUPIL-6854,NA,NA,NA,NA
GOUPIL-11275,GOUPIL-13505,GOUPIL-17828,GOUPIL-21136,GOUPIL-6855,NA,NA,NA
GOUPIL-6856,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6857,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6858,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6859,NA,NA,NA,NA,NA,NA,NA
GOUPIL-11276,GOUPIL-6860,NA,NA,NA,NA,NA,NA
GOUPIL-11277,GOUPIL-13506,GOUPIL-17829,GOUPIL-6861,NA,NA,NA,NA
GOUPIL-11278,GOUPIL-13507,GOUPIL-17830,GOUPIL-6862,NA,NA,NA,NA
GOUPIL-6863,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6864,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6865,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6866,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6867,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6868,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6869,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6870,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6871,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6872,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6873,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6874,NA,NA,NA,NA,NA,NA,NA
GOUPIL-13508,GOUPIL-6875,NA,NA,NA,NA,NA,NA
GOUPIL-11280,GOUPIL-13509,GOUPIL-17831,GOUPIL-6876,NA,NA,NA,NA
GOUPIL-6877,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6878,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6879,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6880,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6881,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6882,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6883,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6884,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6885,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6886,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6887,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6888,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6889,NA,NA,NA,NA,NA,NA,NA
GOUPIL-11281,GOUPIL-13510,GOUPIL-6890,NA,NA,NA,NA,NA
GOUPIL-6891,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6892,NA,NA,NA,NA,NA,NA,NA
GOUPIL-11282,GOUPIL-6893,NA,NA,NA,NA,NA,NA
GOUPIL-6894,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6895,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6896,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6897,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6898,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6899,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6900,NA,NA,NA,NA,NA,NA,NA
GOUPIL-11283,GOUPIL-6901,NA,NA,NA,NA,NA,NA
GOUPIL-11284,GOUPIL-6902,NA,NA,NA,NA,NA,NA
GOUPIL-6903,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6904,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6905,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6906,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6907,NA,NA,NA,NA,NA,NA,NA
GOUPIL-11285,GOUPIL-6908,NA,NA,NA,NA,NA,NA
GOUPIL-11286,GOUPIL-6909,NA,NA,NA,NA,NA,NA
GOUPIL-6910,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6911,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6912,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6913,NA,NA,NA,NA,NA,NA,NA
GOUPIL-11287,GOUPIL-6914,NA,NA,NA,NA,NA,NA
GOUPIL-6915,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6916,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6917,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6918,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6919,NA,NA,NA,NA,NA,NA,NA
GOUPIL-11288,GOUPIL-13511,GOUPIL-17832,GOUPIL-6920,NA,NA,NA,NA
GOUPIL-11289,GOUPIL-6921,NA,NA,NA,NA,NA,NA
GOUPIL-11290,GOUPIL-6922,NA,NA,NA,NA,NA,NA
GOUPIL-6923,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6924,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6925,NA,NA,NA,NA,NA,NA,NA
GOUPIL-11292,GOUPIL-13513,GOUPIL-6926,NA,NA,NA,NA,NA
